url,title,video,images,paragraph,bullets,examples,advanced,medium,easy,topic,facts and procedures,theories and meaning,steps given,practical ,thinking,tf,3,4,5,6
https://docs.oracle.com/javase/tutorial/java/javaOO/nested.html,Nested Classes,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,nested class,FALSE,TRUE,FALSE,TRUE,TRUE,0.020130851,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/java/javaOO/innerclasses.html,Inner Class Example,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,nested class,FALSE,TRUE,FALSE,FALSE,TRUE,0.006346025,,FALSE,FALSE,FALSE
http://www.javatpoint.com/creating-thread,Creating a thread in Java - javatpoint,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,threads,TRUE,FALSE,TRUE,TRUE,FALSE,9.26E-04,FALSE,,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/essential/concurrency/runthread.html,Defining and Starting a Thread,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,threads,FALSE,TRUE,FALSE,TRUE,FALSE,7.92E-04,,FALSE,FALSE,FALSE
https://docs.oracle.com/javase/tutorial/essential/concurrency/,Lesson: Concurrency,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,threads,FALSE,TRUE,FALSE,FALSE,TRUE,8.93E-04,,FALSE,FALSE,FALSE
https://youtu.be/_6-U44god3w,Java Tutorial 12 - Introduction to Java Threads,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,threads,TRUE,FALSE,TRUE,TRUE,FALSE,0.002294296,FALSE,FALSE,,
http://www.journaldev.com/1079/java-thread-tutorial,ava Thread and Multithreading Tutorial | JournalDevï¿½,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,threads,TRUE,FALSE,FALSE,FALSE,TRUE,0.007457847,,FALSE,FALSE,FALSE
http://winterbe.com/posts/2015/04/07/java8-concurrency-tutorial-thread-executor-examples/,Java 8 Concurrency Tutorial: Threads and Executors - Benjamin Winterbergï¿½,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,threads,FALSE,TRUE,FALSE,TRUE,TRUE,0.005764796,,FALSE,FALSE,FALSE
https://en.wikipedia.org/wiki/Serialization,Serialization - Wikipedia the free encyclopediaï,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,serialization,FALSE,TRUE,FALSE,FALSE,TRUE,0.01571754,,FALSE,FALSE,FALSE
http://www.javaworld.com/article/2072752/the-java-serialization-algorithm-revealed.html,The Java serialization algorithm revealed | JavaWorld,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,serialization,TRUE,FALSE,TRUE,TRUE,TRUE,0.004513064,FALSE,,FALSE,FALSE
